[LabApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'autoscroll/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/autoscroll/autoscroll.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/autoscroll/autoscroll.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'hide_input/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/hide_input/hide-input.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/hide_input/hide-input.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'hide_input_all/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/hide_input_all/hide_input_all.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/hide_input_all/hide_input_all.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'keyboard_shortcut_editor/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/keyboard_shortcut_editor/keyboard_shortcut_editor.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/keyboard_shortcut_editor/keyboard_shortcut_editor.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'help_panel/help_panel' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/help_panel/help_panel.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/help_panel/help_panel.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'move_selected_cells/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/move_selected_cells/move_selected_cells.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/move_selected_cells/move_selected_cells.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'zenmode/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/zenmode/zenmode.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/zenmode/zenmode.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'skip-traceback/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/skip-traceback/skip-traceback.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/skip-traceback/skip-traceback.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'python-markdown/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/python-markdown/python-markdown.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/python-markdown/python-markdown.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'codefolding/edit' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/codefolding/codefolding_editor.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/codefolding/codefolding_editor.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'codefolding/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/codefolding/codefolding.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/codefolding/codefolding.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'collapsible_headings/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/collapsible_headings/collapsible_headings.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/collapsible_headings/collapsible_headings.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'exercise/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/exercise/exercise.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/exercise/exercise.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'codemirror_mode_extensions/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/codemirror_mode_extensions/codemirror_mode_extensions.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/codemirror_mode_extensions/codemirror_mode_extensions.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'ruler/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/ruler/ruler.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/ruler/ruler.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'highlight_selected_word/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/highlight_selected_word/configurator.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/highlight_selected_word/configurator.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'contrib_nbextensions_help_item/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/contrib_nbextensions_help_item/contrib_nbextensions_help_item.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/contrib_nbextensions_help_item/contrib_nbextensions_help_item.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'datestamper/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/datestamper/main.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/datestamper/main.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'init_cell/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/init_cell/init_cell.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/init_cell/init_cell.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'limit_output/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/limit_output/limit-output.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/limit_output/limit-output.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'qtconsole/qtconsole' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/qtconsole/qtconsole.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/qtconsole/qtconsole.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'addbefore/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/addbefore/addbefore.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/addbefore/addbefore.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'highlighter/highlighter' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/highlighter/highlighter.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/highlighter/highlighter.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'comment-uncomment/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/comment-uncomment/comment-uncomment.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/comment-uncomment/comment-uncomment.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'code_font_size/code_font_size' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/code_font_size/code_font_size.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/code_font_size/code_font_size.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'varInspector/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/varInspector/varInspector.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/varInspector/varInspector.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'latex_envs/latex_envs' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/latex_envs/latex_envs.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/latex_envs/latex_envs.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'execute_time/ExecuteTime' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/execute_time/ExecuteTime.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/execute_time/ExecuteTime.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'spellchecker/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/spellchecker/config.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/spellchecker/config.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'code_prettify/2to3' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/code_prettify/2to3.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/code_prettify/2to3.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'code_prettify/code_prettify' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/code_prettify/code_prettify.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/code_prettify/code_prettify.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'code_prettify/autopep8' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/code_prettify/autopep8.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/code_prettify/autopep8.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'code_prettify/isort' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/code_prettify/isort.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/code_prettify/isort.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'load_tex_macros/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/load_tex_macros/load_tex_macros.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/load_tex_macros/load_tex_macros.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'hide_header/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/hide_header/hide_header.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/hide_header/hide_header.yaml'
[LabApp | INFO] Kernel started: 549e88bc-5caa-431a-b2ec-6adb8d3addae
[LabApp | INFO] Adapting to protocol v5.1 for kernel 549e88bc-5caa-431a-b2ec-6adb8d3addae
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasBasics.ipynb
[LabApp | INFO] Saving PandasBasics.ipynb
[LabApp | WARNING] Notebook content/Pandas/PandasBasics.ipynb is not trusted
[LabApp | INFO] Saving file at /content/Pandas/PandasEssentials.ipynb
[LabApp | INFO] Saving PandasEssentials.ipynb
[LabApp | INFO] Saving file at /content/Pandas/PandasEssentials.ipynb
[LabApp | INFO] Saving PandasEssentials.ipynb
[LabApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[LabApp | INFO] Loading the validate_assignment nbgrader serverextension
[LabApp | WARNING] JupyterLab server extension not enabled, manually loading...
[LabApp | INFO] JupyterLab extension loaded from /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/jupyterlab
[LabApp | INFO] JupyterLab application directory is /Library/Frameworks/Python.framework/Versions/3.7/share/jupyter/lab
[LabApp | INFO] Serving notebooks from local directory: /Users/simaonovais/Documents/Documents – Simao’s MacBook Air/GitHub/ChutaCodigo
[LabApp | INFO] The Jupyter Notebook is running at:
[LabApp | INFO] http://localhost:8889/?token=88609c15fd306b8dd47b99a03830f7c97cee820507f6863a
[LabApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[LabApp | CRITICAL] 
    
    To access the notebook, open this file in a browser:
        file:///Users/simaonovais/Library/Jupyter/runtime/nbserver-41529-open.html
    Or copy and paste one of these URLs:
        http://localhost:8889/?token=88609c15fd306b8dd47b99a03830f7c97cee820507f6863a
[LabApp | WARNING] Could not determine jupyterlab build status without nodejs
[LabApp | WARNING] 404 GET /api/contents/AequitasEDA.ipynb?content=0&1578139596241 (::1): No such file or directory: AequitasEDA.ipynb
[LabApp | WARNING] No such file or directory: AequitasEDA.ipynb
[LabApp | WARNING] 404 GET /api/contents/AequitasEDA.ipynb?content=0&1578139596241 (::1) 2.17ms referer=http://localhost:8889/lab
[LabApp | WARNING] 404 GET /api/contents/utils.py?content=0&1578139596242 (::1): No such file or directory: utils.py
[LabApp | WARNING] No such file or directory: utils.py
[LabApp | WARNING] 404 GET /api/contents/utils.py?content=0&1578139596242 (::1) 2.76ms referer=http://localhost:8889/lab
[LabApp | WARNING] 404 GET /api/contents/Pandas_profile_report.html?content=0&1578139596240 (::1): No such file or directory: Pandas_profile_report.html
[LabApp | WARNING] No such file or directory: Pandas_profile_report.html
[LabApp | WARNING] 404 GET /api/contents/Pandas_profile_report.html?content=0&1578139596240 (::1) 3.52ms referer=http://localhost:8889/lab
[LabApp | WARNING] 404 GET /api/contents/temp-plot.html?content=0&1578139596240 (::1): No such file or directory: temp-plot.html
[LabApp | WARNING] No such file or directory: temp-plot.html
[LabApp | WARNING] 404 GET /api/contents/temp-plot.html?content=0&1578139596240 (::1) 3.61ms referer=http://localhost:8889/lab
[LabApp | WARNING] 404 GET /api/contents/EDA.ipynb?content=0&1578139596241 (::1): No such file or directory: EDA.ipynb
[LabApp | WARNING] No such file or directory: EDA.ipynb
[LabApp | WARNING] 404 GET /api/contents/EDA.ipynb?content=0&1578139596241 (::1) 2.16ms referer=http://localhost:8889/lab
[LabApp | WARNING] Notebook /content/Pandas/PandasEssentials.ipynb is not trusted
[LabApp | INFO] Kernel started: 73ad70da-1c9b-4717-a88a-65199af94d46
[LabApp | INFO] Adapting to protocol v5.1 for kernel 73ad70da-1c9b-4717-a88a-65199af94d46
[LabApp | INFO] Adapting to protocol v5.1 for kernel 73ad70da-1c9b-4717-a88a-65199af94d46
[LabApp | INFO] Saving file at /content/Pandas/PandasEssentials.ipynb
[LabApp | INFO] Saving PandasEssentials.ipynb
[LabApp | WARNING] Notebook content/Pandas/PandasEssentials.ipynb is not trusted
[LabApp | INFO] Starting buffering for 73ad70da-1c9b-4717-a88a-65199af94d46:a7b3664d-1784-4901-8601-008a4451b966
[LabApp | WARNING] Could not determine jupyterlab build status without nodejs
[LabApp | WARNING] 404 GET /api/contents/EDA.ipynb?content=0&1578139694760 (::1): No such file or directory: EDA.ipynb
[LabApp | WARNING] No such file or directory: EDA.ipynb
[LabApp | WARNING] 404 GET /api/contents/EDA.ipynb?content=0&1578139694760 (::1) 2.69ms referer=http://localhost:8889/lab
[LabApp | INFO] 302 GET / (::1) 1.03ms
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'rubberband/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/rubberband/rubberband.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/rubberband/rubberband.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'scroll_down/main' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/scroll_down/config.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/scroll_down/config.yaml'
[LabApp | WARNING] [jupyter_nbextensions_configurator] nbextension 'hinterland/hinterland' has duplicate listings in both '/usr/local/share/jupyter/nbextensions/hinterland/hinterland.yaml' and '/Users/simaonovais/Library/Jupyter/nbextensions/hinterland/hinterland.yaml'
